COUNT | Region Number | AREA | Centroid (X, Y)
 001. |      001      | 0423 |  (0022, 0014)
 002. |      002      | 0182 |  (0063, 0005)
 003. |      003      | 0658 |  (0108, 0013)
 004. |      004      | 0433 |  (0155, 0011)
 005. |      005      | 0472 |  (0246, 0014)
 006. |      006      | 0276 |  (0197, 0015)
 007. |      007      | 0071 |  (0137, 0021)
 008. |      008      | 0222 |  (0044, 0026)
 009. |      009      | 0260 |  (0218, 0027)
 010. |      010      | 0019 |  (0001, 0026)
 011. |      011      | 0489 |  (0174, 0033)
 012. |      012      | 0635 |  (0072, 0041)
 013. |      013      | 0088 |  (0007, 0044)
 014. |      014      | 0221 |  (0232, 0047)
 015. |      015      | 0444 |  (0138, 0054)
 016. |      016      | 0510 |  (0028, 0057)
 017. |      017      | 0388 |  (0194, 0058)
 018. |      018      | 0415 |  (0098, 0073)
 019. |      019      | 0263 |  (0214, 0070)
 020. |      020      | 0351 |  (0245, 0073)
 021. |      021      | 0153 |  (0168, 0073)
 022. |      022      | 0399 |  (0063, 0084)
 023. |      023      | 0418 |  (0131, 0085)
 024. |      024      | 0247 |  (0033, 0086)
 025. |      025      | 0503 |  (0009, 0097)
 026. |      026      | 0278 |  (0222, 0095)
 027. |      027      | 0673 |  (0173, 0100)
 028. |      028      | 0176 |  (0250, 0104)
 029. |      029      | 0357 |  (0103, 0111)
 030. |      030      | 0538 |  (0036, 0122)
 031. |      031      | 0593 |  (0126, 0129)
 032. |      032      | 0184 |  (0063, 0123)
 033. |      033      | 0629 |  (0165, 0131)
 034. |      034      | 0592 |  (0224, 0127)
 035. |      035      | 0262 |  (0007, 0139)
 036. |      036      | 0891 |  (0088, 0161)
 037. |      037      | 0233 |  (0066, 0147)
 038. |      038      | 0470 |  (0244, 0151)
 039. |      039      | 0164 |  (0188, 0156)
 040. |      040      | 0394 |  (0136, 0163)
 041. |      041      | 0236 |  (0213, 0166)
 042. |      042      | 0405 |  (0016, 0168)
 043. |      043      | 0370 |  (0044, 0171)
 044. |      044      | 0644 |  (0180, 0181)
 045. |      045      | 0374 |  (0232, 0184)
 046. |      046      | 0570 |  (0130, 0197)
 047. |      047      | 0064 |  (0253, 0200)
 048. |      048      | 0163 |  (0206, 0203)
 049. |      049      | 0456 |  (0026, 0215)
 050. |      050      | 0612 |  (0103, 0213)
 051. |      051      | 0533 |  (0062, 0217)
 052. |      052      | 0203 |  (0005, 0226)
 053. |      053      | 0555 |  (0234, 0226)
 054. |      054      | 0845 |  (0180, 0230)
 055. |      055      | 0273 |  (0138, 0233)
 056. |      056      | 0208 |  (0046, 0240)
 057. |      057      | 0074 |  (0178, 0251)
 058. |      058      | 0047 |  (0074, 0251)
 059. |      059      | 0087 |  (0127, 0251)
 060. |      060      | 0050 |  (0234, 0251)
